group,label,N,mean,median,sd,q25,q75,min,max
by_from_state,Intermediate,265,226.5,110.9,359.4,41.9,230.1,14.0,3267.0
by_from_state,Resistant,1245,306.1,126.1,471.1,49.2,343.9,14.0,5009.6
by_from_state,Susceptible,11634,589.6,276.0,785.7,84.0,763.3,14.0,5623.3
by_transition,I->I,148,145.8,65.1,258.6,32.7,147.2,14.0,2470.1
by_transition,I->R,26,290.2,164.6,358.2,53.3,269.8,18.0,1414.0
by_transition,I->S,91,339.5,207.2,457.4,83.4,346.7,17.1,3267.0
by_transition,R->I,43,432.1,165.0,791.6,58.6,327.7,19.7,3792.5
by_transition,R->R,908,226.3,92.9,373.0,42.0,243.7,14.0,5009.6
by_transition,R->S,294,534.2,320.0,589.6,121.9,762.8,14.1,3435.9
by_transition,S->I,311,921.8,519.9,1069.2,157.4,1225.6,14.0,5541.9
by_transition,S->R,1008,780.1,432.9,902.0,148.9,1077.7,14.1,5382.3
by_transition,S->S,10315,560.9,256.7,758.2,78.2,722.1,14.0,5623.3
